calendar_consistent,case_id,cleaned_output,delta_seconds,error,error_subtype,error_type,estimated_cost_usd,extraction_clean,format,format_compliance,gold_choice,gold_formatted,input_tokens,latency_ms,model,model_cell,options,output_tokens,parse_mode,provider_model,raw_output,reasoning_mode,reasoning_tokens,selected_choice,selected_option_content,semantic_correct,syntactic_valid,task_id,task_type,timestamp,warnings
,temporal_arith_012__python_datetime,2027-09-08 18:00:00+10:00,0.0,,,,0.0013,True,python_datetime,1.0,,2027-09-08 18:00:00+10:00,160,1540,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2027-09-08 18:00:00+10:00,non_reasoning,0,,,True,True,temporal_arith_012,temporal_arithmetic,2026-03-14T17:16:49.163161Z,
True,extract_008__natural_language,"Sunday, September 17, 2028 at 3:50 PM UTC",0.0,,,,0.001715,True,natural_language,1.0,,"Sunday, September 17, 2028 at 3:50 PM UTC",238,3134,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Sunday, September 17, 2028 at 3:50 PM UTC",non_reasoning,0,,,True,True,extract_008,extraction_from_passage,2026-03-14T17:16:50.756824Z,
,mc_002__natural_language,C,,,,,0.001435,True,natural_language,1.0,C,"Tuesday, April 21, 2026 at 8:55 PM AEST",267,3214,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""Wednesday, April 22, 2026 at 8:55 PM AEST"", ""B"": ""Tuesday, April 21, 2026 at 8:55 AM AEST"", ""C"": ""Tuesday, April 21, 2026 at 8:55 PM AEST"", ""D"": ""Wednesday, April 21, 2026 at 8:55 PM AEST""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,C,non_reasoning,0,C,"Tuesday, April 21, 2026 at 8:55 PM AEST",True,True,mc_002,multiple_choice_validation,2026-03-14T17:16:50.836866Z,
,direct_gen_008__rfc_3339,2026-07-15T09:50:00+09:00,0.0,,,,0.001265,True,rfc_3339,1.0,,2026-07-15T09:50:00+09:00,153,5034,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2026-07-15T09:50:00+09:00,non_reasoning,0,,,True,True,direct_gen_008,direct_generation,2026-03-14T17:16:52.657272Z,
,edge_013__iso_8601,2026-07-04T12:00:00+00:00,0.0,,,,0.00121,True,iso_8601,1.0,,2026-07-04T12:00:00+00:00,142,5591,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2026-07-04T12:00:00+00:00,non_reasoning,0,,,True,True,edge_013,edge_cases,2026-03-14T17:16:53.213583Z,
,mc_009__natural_language,A,,,,,0.001425,True,natural_language,1.0,A,"Monday, September 2, 2024 at 5:10 PM PDT",265,4934,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""Monday, September 2, 2024 at 5:10 PM PDT"", ""B"": ""Tuesday, September 2, 2024 at 5:10 PM PDT"", ""C"": ""Monday, September 2, 2024 at 5:10 AM PDT"", ""D"": ""Tuesday, September 3, 2024 at 5:10 PM PDT""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,A,non_reasoning,0,A,"Monday, September 2, 2024 at 5:10 PM PDT",True,True,mc_009,multiple_choice_validation,2026-03-14T17:16:54.099359Z,
True,direct_gen_012__natural_language,"Sunday, August 30, 2020 at 12:40 PM IST",0.0,,,,0.001315,True,natural_language,1.0,,"Sunday, August 30, 2020 at 12:40 PM IST",153,4716,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Sunday, August 30, 2020 at 12:40 PM IST",non_reasoning,0,,,True,True,direct_gen_012,direct_generation,2026-03-14T17:16:55.473904Z,
,edge_001__python_datetime,2024-02-29 12:00:00+00:00,0.0,,,,0.00126,True,python_datetime,1.0,,2024-02-29 12:00:00+00:00,152,5472,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2024-02-29 12:00:00+00:00,non_reasoning,0,,,True,True,edge_001,edge_cases,2026-03-14T17:16:56.309866Z,
,direct_gen_015__iso_8601,2030-04-16T09:40:00-07:00,0.0,,,,0.00127,True,iso_8601,1.0,,2030-04-16T09:40:00-07:00,154,4550,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2030-04-16T09:40:00-07:00,non_reasoning,0,,,True,True,direct_gen_015,direct_generation,2026-03-14T17:16:57.208596Z,
,direct_gen_006__iso_8601,2030-06-17T16:30:00+09:00,0.0,,,,0.00126,True,iso_8601,1.0,,2030-06-17T16:30:00+09:00,152,5064,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2030-06-17T16:30:00+09:00,non_reasoning,0,,,True,True,direct_gen_006,direct_generation,2026-03-14T17:16:58.278865Z,
True,format_conv_010__javascript_date,Wed Jun 09 2021 18:00:00 GMT+0530 (India Standard Time),0.0,,,,0.00149,True,javascript_date,1.0,,Wed Jun 09 2021 18:00:00 GMT+0530 (India Standard Time),163,5061,anthropic/claude-opus-4.6,large_non_reasoning,{},27,strict,anthropic/claude-4.6-opus-20260205,Wed Jun 09 2021 18:00:00 GMT+0530 (India Standard Time),non_reasoning,0,,,True,True,format_conv_010,format_conversion,2026-03-14T17:16:59.161811Z,
True,direct_gen_011__rfc_2822,"Mon, 25 Jan 2021 16:05:00 -0500",0.0,,,,0.001335,True,rfc_2822,1.0,,"Mon, 25 Jan 2021 16:05:00 -0500",157,4796,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Mon, 25 Jan 2021 16:05:00 -0500",non_reasoning,0,,,True,True,direct_gen_011,direct_generation,2026-03-14T17:17:02.998858Z,
,mc_006__rfc_2822,A,,,,,0.001425,True,rfc_2822,1.0,A,"Wed, 26 Feb 2025 15:55:00 +1100",265,5155,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""Wed, 26 Feb 2025 15:55:00 +1100"", ""B"": ""Thu, 27 Feb 2025 15:55:00 +1100"", ""C"": ""Wed, 26 02 2025 15:55:00 +1100"", ""D"": ""Thu, 26 Feb 2025 15:55:00 +1100""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,A,non_reasoning,0,A,"Wed, 26 Feb 2025 15:55:00 +1100",True,True,mc_006,multiple_choice_validation,2026-03-14T17:17:04.193764Z,
True,edge_005__rfc_2822,"Thu, 01 Jan 2026 04:00:00 +0000",0.0,,,,0.00136,True,rfc_2822,1.0,,"Thu, 01 Jan 2026 04:00:00 +0000",162,5042,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Thu, 01 Jan 2026 04:00:00 +0000",non_reasoning,0,,,True,True,edge_005,edge_cases,2026-03-14T17:17:06.049718Z,
True,multi_hop_004__natural_language,"Thursday, November 28, 2030 at 8:15 AM JST",0.0,,,,0.00398,False,natural_language,1.0,,"Thursday, November 28, 2030 at 8:15 AM JST",191,6641,anthropic/claude-opus-4.6,large_non_reasoning,{},121,strict,anthropic/claude-4.6-opus-20260205,"The kickoff is November 12, 2030 at 8:15 AM Asia/Tokyo.

The demo is exactly 3 weeks later: December 3, 2030 at 8:15 AM Asia/Tokyo.

QA freeze is 5 days before the demo: November 28, 2030 at 8:15 AM Asia/Tokyo.

November 28, 2030 is a Thursday.

Thursday, November 28, 2030 at 8:15 AM JST",non_reasoning,0,,,True,True,multi_hop_004,multi_hop_reasoning,2026-03-14T17:17:06.578700Z,
,format_conv_017__rfc_3339,2029-06-18T17:10:00+09:00,0.0,,,,0.00127,True,rfc_3339,1.0,,2029-06-18T17:10:00+09:00,154,5259,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2029-06-18T17:10:00+09:00,non_reasoning,0,,,True,True,format_conv_017,format_conversion,2026-03-14T17:17:07.149799Z,
,temporal_arith_003__rfc_3339,2025-03-30T04:30:00+01:00,3600.0,,,arithmetic_error,0.001315,True,rfc_3339,0.96,,2025-03-30T03:30:00+01:00,163,5035,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2025-03-30T04:30:00+01:00,non_reasoning,0,,,False,True,temporal_arith_003,temporal_arithmetic,2026-03-14T17:17:08.034376Z,
,format_conv_008__iso_8601,2023-08-26T06:40:00+01:00,0.0,,,,0.001265,True,iso_8601,1.0,,2023-08-26T06:40:00+01:00,153,4839,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2023-08-26T06:40:00+01:00,non_reasoning,0,,,True,True,format_conv_008,format_conversion,2026-03-14T17:17:09.033594Z,
True,temporal_arith_006__javascript_date,Fri Jan 03 2025 12:50:00 GMT-0500 (Eastern Standard Time),0.0,,,,0.00157,True,javascript_date,1.0,,Fri Jan 03 2025 12:50:00 GMT-0500 (Eastern Standard Time),174,4477,anthropic/claude-opus-4.6,large_non_reasoning,{},28,strict,anthropic/claude-4.6-opus-20260205,Fri Jan 03 2025 12:50:00 GMT-0500 (Eastern Standard Time),non_reasoning,0,,,True,True,temporal_arith_006,temporal_arithmetic,2026-03-14T17:17:11.056483Z,
True,format_conv_013__rfc_2822,"Sat, 16 Mar 2030 06:40:00 -0700",0.0,,,,0.001395,True,rfc_2822,1.0,,"Sat, 16 Mar 2030 06:40:00 -0700",164,5017,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Sat, 16 Mar 2030 06:40:00 -0700",non_reasoning,0,,,True,True,format_conv_013,format_conversion,2026-03-14T17:17:12.167700Z,
True,multi_hop_001__rfc_2822,"Sun, 08 Oct 2028 10:00:00 +0000",0.0,,,,0.004585,False,rfc_2822,1.0,,"Sun, 08 Oct 2028 10:00:00 +0000",177,6173,anthropic/claude-opus-4.6,large_non_reasoning,{},148,strict,anthropic/claude-4.6-opus-20260205,"The second Thursday of October 2028: October 1 is a Sunday, so the first Thursday is October 5, and the second Thursday is October 12, 2028.

Alice's meeting: Thursday, 12 Oct 2028 10:00:00 UTC

96 hours before: 12 Oct 10:00 minus 96 hours = 12 Oct 10:00 minus 4 days = 8 Oct 2028 10:00:00 UTC

October 8, 2028 is a Sunday.

Sun, 08 Oct 2028 10:00:00 +0000",non_reasoning,0,,,True,True,multi_hop_001,multi_hop_reasoning,2026-03-14T17:17:12.223784Z,
False,extract_002__javascript_date,Thu Feb 27 2030 11:15:00 GMT+0000 (Greenwich Mean Time),0.0,,,,0.00192,True,javascript_date,0.9454545454545454,,Wed Feb 27 2030 11:15:00 GMT+0000 (Greenwich Mean Time),249,5022,anthropic/claude-opus-4.6,large_non_reasoning,{},27,strict,anthropic/claude-4.6-opus-20260205,Thu Feb 27 2030 11:15:00 GMT+0000 (Greenwich Mean Time),non_reasoning,0,,,True,True,extract_002,extraction_from_passage,2026-03-14T17:17:13.060165Z,
,format_conv_017__iso_8601,2029-06-18T17:10:00+09:00,0.0,,,,0.001255,True,iso_8601,1.0,,2029-06-18T17:10:00+09:00,151,5720,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2029-06-18T17:10:00+09:00,non_reasoning,0,,,True,True,format_conv_017,format_conversion,2026-03-14T17:17:14.754904Z,
,direct_gen_015__rfc_3339,2030-04-16T09:40:00-07:00,0.0,,,,0.001275,True,rfc_3339,1.0,,2030-04-16T09:40:00-07:00,155,3917,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2030-04-16T09:40:00-07:00,non_reasoning,0,,,True,True,direct_gen_015,direct_generation,2026-03-14T17:17:14.973954Z,
True,multi_hop_017__natural_language,"Sunday, August 13, 2028 at 10:00 AM UTC",0.0,,,,0.00139,True,natural_language,1.0,,"Sunday, August 13, 2028 at 10:00 AM UTC",173,4239,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Sunday, August 13, 2028 at 10:00 AM UTC",non_reasoning,0,,,True,True,multi_hop_017,multi_hop_reasoning,2026-03-14T17:17:16.408103Z,
True,edge_018__natural_language,"Saturday, March 14, 2026 at 12:00 PM UTC",0.0,,,,0.00123,True,natural_language,1.0,,"Saturday, March 14, 2026 at 12:00 PM UTC",141,4762,anthropic/claude-opus-4.6,large_non_reasoning,{},21,strict,anthropic/claude-4.6-opus-20260205,"Saturday, March 14, 2026 at 12:00 PM UTC",non_reasoning,0,,,True,True,edge_018,edge_cases,2026-03-14T17:17:16.987123Z,
,multi_hop_006__iso_8601,2030-06-01T09:00:00+00:00,0.0,,,,0.00144,True,iso_8601,1.0,,2030-06-01T09:00:00+00:00,188,5023,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2030-06-01T09:00:00+00:00,non_reasoning,0,,,True,True,multi_hop_006,multi_hop_reasoning,2026-03-14T17:17:18.087254Z,
True,format_conv_002__javascript_date,Sun Feb 27 2028 12:35:00 GMT+0530 (India Standard Time),0.0,,,,0.00151,True,javascript_date,1.0,,Sun Feb 27 2028 12:35:00 GMT+0530 (India Standard Time),167,4498,anthropic/claude-opus-4.6,large_non_reasoning,{},27,strict,anthropic/claude-4.6-opus-20260205,Sun Feb 27 2028 12:35:00 GMT+0530 (India Standard Time),non_reasoning,0,,,True,True,format_conv_002,format_conversion,2026-03-14T17:17:19.254156Z,
,multi_hop_001__python_datetime,2028-10-08 10:00:00+00:00,0.0,,,,0.00336,False,python_datetime,1.0,,2028-10-08 10:00:00+00:00,172,6512,anthropic/claude-opus-4.6,large_non_reasoning,{},100,strict,anthropic/claude-4.6-opus-20260205,"The second Thursday of October 2028: October 1 is a Sunday, so the first Thursday is October 5, and the second Thursday is October 12, 2028.

Alice's meeting: 2028-10-12 10:00:00 UTC

96 hours before: 2028-10-08 10:00:00 UTC

2028-10-08 10:00:00+00:00",non_reasoning,0,,,True,True,multi_hop_001,multi_hop_reasoning,2026-03-14T17:17:21.486718Z,
True,temporal_arith_008__natural_language,"Friday, February 14, 2020 at 3:00 PM AEDT",0.0,,,,0.001405,True,natural_language,1.0,,"Friday, February 14, 2020 at 3:00 PM AEDT",161,5302,anthropic/claude-opus-4.6,large_non_reasoning,{},24,strict,anthropic/claude-4.6-opus-20260205,"Friday, February 14, 2020 at 3:00 PM AEDT",non_reasoning,0,,,True,True,temporal_arith_008,temporal_arithmetic,2026-03-14T17:17:22.290383Z,
,multi_hop_004__iso_8601,2030-11-28T08:15:00+09:00,0.0,,,,0.004435,False,iso_8601,1.0,,2030-11-28T08:15:00+09:00,192,5909,anthropic/claude-opus-4.6,large_non_reasoning,{},139,strict,anthropic/claude-4.6-opus-20260205,"The kickoff is November 12, 2030 at 8:15 AM Asia/Tokyo.

Demo is exactly 3 weeks later: November 12 + 21 days = December 3, 2030 at 8:15 AM Asia/Tokyo.

QA freeze is 5 days before the demo: December 3 - 5 = November 28, 2030 at 8:15 AM Asia/Tokyo.

Asia/Tokyo is UTC+09:00 (no DST).

2030-11-28T08:15:00+09:00",non_reasoning,0,,,True,True,multi_hop_004,multi_hop_reasoning,2026-03-14T17:17:22.318509Z,
,mc_016__iso_8601,D,,,,,0.001375,True,iso_8601,1.0,D,2023-10-06T14:50:00+09:00,255,4799,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""2023-10-07T14:50:00+09:00"", ""B"": ""2023-10-06 14:50:00+09:00"", ""C"": ""2023-10-06T14:50:00-09:00"", ""D"": ""2023-10-06T14:50:00+09:00""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,D,non_reasoning,0,D,2023-10-06T14:50:00+09:00,True,True,mc_016,multiple_choice_validation,2026-03-14T17:17:22.886894Z,
,format_conv_016__iso_8601,2021-06-22T07:00:00-04:00,0.0,,,,0.00126,True,iso_8601,1.0,,2021-06-22T07:00:00-04:00,152,4819,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2021-06-22T07:00:00-04:00,non_reasoning,0,,,True,True,format_conv_016,format_conversion,2026-03-14T17:17:24.073956Z,
True,edge_012__natural_language,"Friday, March 13, 2026 at 12:00 PM PDT",0.0,,,,0.001275,True,natural_language,1.0,,"Friday, March 13, 2026 at 12:00 PM PDT",145,3790,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Friday, March 13, 2026 at 12:00 PM PDT",non_reasoning,0,,,True,True,edge_012,edge_cases,2026-03-14T17:17:25.277656Z,
