calendar_consistent,case_id,cleaned_output,delta_seconds,error,error_subtype,error_type,estimated_cost_usd,extraction_clean,format,format_compliance,gold_choice,gold_formatted,input_tokens,latency_ms,model,model_cell,options,output_tokens,parse_mode,provider_model,raw_output,reasoning_mode,reasoning_tokens,selected_choice,selected_option_content,semantic_correct,strict_correct,syntactic_valid,task_id,task_type,timestamp,warnings
True,edge_012__natural_language,"Friday, March 13, 2026 at 12:00 PM PDT",0.0,,,,0.001275,True,natural_language,1.0,,"Friday, March 13, 2026 at 12:00 PM PDT",145,1964,anthropic/claude-opus-4.6,large_non_reasoning,{},22,strict,anthropic/claude-4.6-opus-20260205,"Friday, March 13, 2026 at 12:00 PM PDT",non_reasoning,0,,,True,True,True,edge_012,edge_cases,2026-03-14T18:26:40.299930Z,
,edge_013__rfc_3339,2026-07-04T12:00:00+00:00,0.0,,,,0.001215,True,rfc_3339,1.0,,2026-07-04T12:00:00+00:00,143,2165,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2026-07-04T12:00:00+00:00,non_reasoning,0,,,True,True,True,edge_013,edge_cases,2026-03-14T18:26:40.500149Z,
,mc_011__rfc_3339,C,,,,,0.001395,True,rfc_3339,1.0,C,2029-04-09T17:20:00+10:30,259,2531,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""2029-04-10T17:20:00+10:30"", ""B"": ""2029-04-09T17:20:00-10:30"", ""C"": ""2029-04-09T17:20:00+10:30"", ""D"": ""2029-04-09 17:20:00+10:30""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,C,non_reasoning,0,C,2029-04-09T17:20:00+10:30,True,True,True,mc_011,multiple_choice_validation,2026-03-14T18:26:40.866181Z,
,mc_009__unix_epoch,A,,,wrong_choice,unknown,0.00102,True,unix_epoch,0.0,B,1729754400,184,2556,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""1729758000"", ""B"": ""1729754400"", ""C"": ""1729754400000"", ""D"": ""1729840800""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,A,non_reasoning,0,A,1729758000,False,False,True,mc_009,multiple_choice_validation,2026-03-14T18:26:40.891270Z,
False,multi_hop_006__rfc_2822,"Tue, 04 Jun 2030 09:00:00 +0000",259200.0,,,day_of_week_error,0.00153,True,rfc_2822,0.8709677419354839,,"Sat, 01 Jun 2030 09:00:00 +0000",191,3378,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Tue, 04 Jun 2030 09:00:00 +0000",non_reasoning,0,,,False,False,True,multi_hop_006,multi_hop_reasoning,2026-03-14T18:26:41.713627Z,
True,direct_gen_025__rfc_2822,"Tue, 16 Oct 2029 18:50:00 +0100",0.0,,,,0.00135,True,rfc_2822,1.0,,"Tue, 16 Oct 2029 18:50:00 +0100",155,3809,anthropic/claude-opus-4.6,large_non_reasoning,{},23,strict,anthropic/claude-4.6-opus-20260205,"Tue, 16 Oct 2029 18:50:00 +0100",non_reasoning,0,,,True,True,True,direct_gen_025,direct_generation,2026-03-14T18:26:42.144661Z,
,edge_009__rfc_3339,2025-03-30T04:30:00+01:00,3600.0,,,arithmetic_error,0.0013,True,rfc_3339,0.96,,2025-03-30T03:30:00+01:00,160,4206,anthropic/claude-opus-4.6,large_non_reasoning,{},20,strict,anthropic/claude-4.6-opus-20260205,2025-03-30T04:30:00+01:00,non_reasoning,0,,,False,False,True,edge_009,edge_cases,2026-03-14T18:26:42.541005Z,
,direct_gen_029__unix_epoch,1669091400,3600.0,,,epoch_conversion_error,0.00083,True,unix_epoch,0.8,,1669095000,126,2261,anthropic/claude-opus-4.6,large_non_reasoning,{},8,strict,anthropic/claude-4.6-opus-20260205,1669091400,non_reasoning,0,,,False,False,True,direct_gen_029,direct_generation,2026-03-14T18:26:42.562335Z,
,mc_025__python_datetime,B,,,,,0.001375,True,python_datetime,1.0,B,2029-10-16 19:50:00+13:00,255,2442,anthropic/claude-opus-4.6,large_non_reasoning,"{""A"": ""2029-10-16 19:50:00-13:00"", ""B"": ""2029-10-16 19:50:00+13:00"", ""C"": ""2029-10-16T19:50:00+13:00"", ""D"": ""2029-10-17 19:50:00+13:00""}",4,choice_letter,anthropic/claude-4.6-opus-20260205,B,non_reasoning,0,B,2029-10-16 19:50:00+13:00,True,True,True,mc_025,multiple_choice_validation,2026-03-14T18:26:42.942587Z,
,multi_hop_015__python_datetime,2029-08-09 10:30:00-07:00,0.0,,,,0.004195,False,python_datetime,1.0,,2029-08-09 10:30:00-07:00,194,4757,anthropic/claude-opus-4.6,large_non_reasoning,{},129,strict,anthropic/claude-4.6-opus-20260205,"August 1, 2029 is a Wednesday. So the next Wednesday is August 8, 2029 at 4:30 PM America/Los_Angeles.

In August, America/Los_Angeles is PDT (UTC-7).

The review is August 8, 2029 at 16:30 PDT (UTC-7).

Adding 18 hours: August 9, 2029 at 10:30 AM PDT (UTC-7).

2029-08-09 10:30:00-07:00",non_reasoning,0,,,True,True,True,multi_hop_015,multi_hop_reasoning,2026-03-14T18:26:43.092451Z,
